District,Year,Month,Rainfall,Temperature,Soil_Moisture,NDVI
Jangaon,2024,11,8.269532082023321,23.560810023629088,0.2535862122721287,0.4908911180986602
Jangaon,2024,12,12.928393111117774,23.01021443175472,0.2056267834174371,0.4468570302287582
Jangaon,2025,1,1.7388594733757163,22.35094196225258,0.1349731617102385,0.4502235543939888
Jangaon,2025,2,3.2022598934207624,26.02414177993117,0.1189278051020915,0.4942581080529235
Jangaon,2025,3,0.9353359679244462,28.2382008850396,0.1190657176073884,0.4890416979745179
Jangaon,2025,4,39.62217359661065,30.500135727957517,0.1375570058822632,0.3656576016824565
Jangaon,2025,5,127.2095199450528,29.970774680328404,0.2125192468810644,0.4079505553740606
Jangaon,2025,6,35.09099438455514,28.628495894981143,0.2819991437253978,0.4294797043449852
Jangaon,2025,7,227.93255598834705,26.682282212773394,0.340536630863075,0.5337350375694215
Jangaon,2025,8,276.6403564755433,25.85173379421204,0.3887676360212481,0.651517596373734
Jangaon,2025,9,241.28020050654973,25.658966644045083,0.4030055274798597,0.7325959429108129
Jangaon,2025,10,159.16401400416223,25.30331564469953,0.3758981160890114,0.6520535398953563
Jangaon,2025,11,4.525694651040842,22.281210709012814,0.2966788787868452,0.5529825894315583
Jangaon,2025,12,1.29696626883691,20.65553315103938,0.1678306012804995,0.4479214542410255
Jangaon,2026,1,1.782907824305128,21.99469123753741,0.1287752985202613,0.42197607958491623
Jangaon,2026,2,3.74714620320764,24.057245380349816,0.1210999421938652,0.5415213982358705
Jangaon,2026,3,11.62099555107268,27.873200303981857,0.12380874157496281,0.5579174309866055
Jangaon,2026,4,7.816537179370179,31.40106241543363,0.12189962997891395,0.4248097762169223
Jangaon,2026,5,17.838947461679403,33.31651016347486,0.11882266630771646,0.3034384984482195
Jayashankar Bhupalapally,2013,1,2.770134595350801,24.187844151619466,0.201283628887926,0.529863611111111
Jayashankar Bhupalapally,2013,2,25.11385050989986,25.49256678645395,0.2435218278512933,0.4954771666666668
Jayashankar Bhupalapally,2013,3,1.43927955657711,29.65402532870181,0.1997447507727733,0.4377919984126984
Jayashankar Bhupalapally,2013,4,29.42414571140025,32.09551923504918,0.2355576159065153,0.3630072301587301
Jayashankar Bhupalapally,2013,5,11.561936227434716,35.811268053632006,0.2015324298437392,0.3185373492063493
Jayashankar Bhupalapally,2013,6,312.7463245589169,28.285425559160608,0.3968564035291184,0.4592355777777779
Jayashankar Bhupalapally,2013,7,458.1505039285301,26.147887158890164,0.4524149313029993,0.403135361904762
Jayashankar Bhupalapally,2013,8,261.9796118345056,26.13259549924217,0.4515695277017262,0.5565972253968254
Jayashankar Bhupalapally,2013,9,151.23757562229272,27.23416167423041,0.4226337962888958,0.7180578674159444
Jayashankar Bhupalapally,2013,10,209.76830644256785,25.83525980421081,0.4322295078278238,0.7469377604828461
Jayashankar Bhupalapally,2013,11,3.4441782038589226,23.94972428626276,0.3191864289675649,0.6885722634920639
Jayashankar Bhupalapally,2013,12,0.7881564013100915,21.93678141993797,0.2428445245541285,0.6072788601480823
Jayashankar Bhupalapally,2014,1,2.788439025460952,23.63322433206562,0.2047236446244538,0.5500876460317461
Jayashankar Bhupalapally,2014,2,5.905159938101924,25.24402694327312,0.204109369401218,0.508054197358395
Jayashankar Bhupalapally,2014,3,12.549576719709712,28.21011997334501,0.2542305854032992,0.4890324682539682
Jayashankar Bhupalapally,2014,4,14.851642331626689,32.6975118342055,0.2004552052923402,0.3997274174603175
Jayashankar Bhupalapally,2014,5,48.34686447468136,33.255144767351055,0.2280288757106759,0.398220434920635
Jayashankar Bhupalapally,2014,6,48.10244442766124,33.2613959217186,0.2428873270980054,0.4107715015873017
Jayashankar Bhupalapally,2014,7,351.0985828284159,27.756923817046196,0.4015248968694414,0.5364097365079367
Jayashankar Bhupalapally,2014,8,251.0560973608721,27.769571088479385,0.4069705342496086,0.5764548333333335
